wavenumber,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,M2_6,M2_7,M2_8,M2_9,M2_10,M2_11,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12
421.3700270123703,-0.0934089943766594,-0.1312069296836853,-0.1171012744307518,-0.09718046337366104,-0.10637640208005905,-0.11016453057527542,-0.1395506113767624,-0.11539008468389511,-0.11445750296115875,-0.11166176944971085,-0.11866661161184311,-0.11093531548976898,0.00466426694765687,-0.11963167041540146,0.001268295687623322,-0.12122420221567154,-0.11699993908405304,-0.1253567487001419,-0.12740251421928406,-0.11954185366630554,-0.13426099717617035,-0.08983913064002991,-0.11742541193962097,-0.13678056001663208,-0.14637558162212372,-0.10604618489742279,-0.12354298681020737,-0.11030025035142899,-0.11970905214548111,-0.08086667209863663,-0.11290820688009262,-0.11201898008584976,-0.11396529525518417,-0.0849858894944191,-0.1363869160413742
422.33426048379454,-0.09315941482782364,-0.13114459812641144,-0.11890123039484024,-0.0971292033791542,-0.10719914734363556,-0.1113046258687973,-0.13861925899982452,-0.11625543236732483,-0.11335243284702301,-0.11187504976987839,-0.11788279563188553,-0.11196747422218323,0.004153897054493427,-0.12011907994747162,0.00124601018615067,-0.12020707130432129,-0.11692548543214798,-0.12436177581548691,-0.12806977331638336,-0.11891301721334457,-0.13401871919631958,-0.09099715203046799,-0.11830594390630722,-0.13515986502170563,-0.14506852626800537,-0.10680349171161652,-0.12273188680410385,-0.11042584478855133,-0.12106651067733765,-0.08009634166955948,-0.11122598499059677,-0.1117616593837738,-0.11310287564992905,-0.0881156474351883,-0.1353648155927658
423.2984939552187,-0.09304377436637878,-0.13041341304779053,-0.12028197199106216,-0.09700141847133636,-0.1074199229478836,-0.11225509643554688,-0.1382831484079361,-0.11710437387228012,-0.11208102107048035,-0.11246969550848007,-0.11715160310268402,-0.11286579072475433,0.0032175255473703146,-0.12004034221172333,0.000729932333342731,-0.11977959424257278,-0.11710675805807114,-0.12361345440149307,-0.1281735748052597,-0.1184438019990921,-0.13354510068893433,-0.0924244225025177,-0.11886458098888397,-0.13364586234092712,-0.14372360706329346,-0.1075088232755661,-0.12220101803541183,-0.11064814776182175,-0.12219102680683136,-0.07962766289710999,-0.11009333282709122,-0.11145953834056854,-0.11230290681123734,-0.09147219359874725,-0.134039044380188
424.26272742664287,-0.0926927998661995,-0.1290215253829956,-0.1209055557847023,-0.09679125994443893,-0.10701561719179153,-0.11266971379518509,-0.1384647786617279,-0.11756284534931183,-0.11075027287006378,-0.11310181021690369,-0.11672667413949966,-0.1135154590010643,0.0021042264997959137,-0.11948971450328827,-7.179742533480749e-05,-0.11976417154073715,-0.11741472035646439,-0.12341012060642242,-0.12780985236167908,-0.11824587732553482,-0.132843017578125,-0.09360409528017044,-0.11889263987541199,-0.13265496492385864,-0.14260323345661163,-0.10795532912015915,-0.12208667397499084,-0.11091990768909454,-0.12279646843671799,-0.07959957420825958,-0.10958897322416306,-0.1113402470946312,-0.11159873008728027,-0.09424777328968048,-0.13287417590618134
425.2269608980671,-0.09198537468910217,-0.12720036506652832,-0.12073571979999542,-0.09658964723348618,-0.10627647489309311,-0.11263169348239899,-0.13902252912521362,-0.11752402782440186,-0.10959857702255249,-0.11352208256721497,-0.11680275201797485,-0.1139814555644989,0.0010658514220267534,-0.11881428956985474,-0.0008814135799184442,-0.11994479596614838,-0.11785371601581573,-0.12369048595428467,-0.12715621292591095,-0.11830740422010422,-0.1319994330406189,-0.09437593072652817,-0.11837141215801239,-0.1325446218252182,-0.14197081327438354,-0.1081116572022438,-0.12235309183597565,-0.11111404746770859,-0.12271152436733246,-0.07996412366628647,-0.10951972752809525,-0.11145345121622086,-0.1109682247042656,-0.09603254497051239,-0.13209013640880585
426.19119436949126,-0.09112503379583359,-0.1253816783428192,-0.11997630447149277,-0.0964784026145935,-0.10561048239469528,-0.1125047355890274,-0.1397678554058075,-0.11711504310369492,-0.10892696678638458,-0.11361437290906906,-0.11733931303024292,-0.11439268290996552,0.000305220833979547,-0.11842671036720276,-0.0014276668662205338,-0.12009506672620773,-0.11846288293600082,-0.12411746382713318,-0.1264560967683792,-0.11854062229394913,-0.13118292391300201,-0.09477190673351288,-0.11743725091218948,-0.13346458971500397,-0.14196179807186127,-0.10809282213449478,-0.1228409856557846,-0.11108962446451187,-0.12198975682258606,-0.08052575588226318,-0.10959801077842712,-0.11166336387395859,-0.11041020601987839,-0.09676220268011093,-0.13163860142230988
427.1554278409155,-0.09051139652729034,-0.12404373288154602,-0.11894568800926208,-0.09648235142230988,-0.1053287461400032,-0.11266093701124191,-0.14047560095787048,-0.11658477783203125,-0.10895360261201859,-0.11343201249837875,-0.11802199482917786,-0.11482146382331848,-8.438352233497426e-05,-0.11857928335666656,-0.001569270621985197,-0.12001251429319382,-0.11919298022985458,-0.12430687993764877,-0.12597061693668365,-0.11883880198001862,-0.13059395551681519,-0.09483718127012253,-0.11635363101959229,-0.1352301687002182,-0.14248789846897125,-0.10805638879537582,-0.12335936725139618,-0.11079446226358414,-0.12093997746706009,-0.08104860782623291,-0.1096179336309433,-0.11173693090677261,-0.1099877804517746,-0.09665735810995102,-0.13128674030303955
428.11966131233964,-0.09048457443714142,-0.12349406629800797,-0.11792241781949997,-0.09659374505281448,-0.10552595555782318,-0.11323300004005432,-0.14093703031539917,-0.11616059392690659,-0.10969256609678268,-0.11318062990903854,-0.11843189597129822,-0.1152259036898613,-0.00013442827912513167,-0.11923513561487198,-0.0013664632569998503,-0.11958757787942886,-0.11985886096954346,-0.1240764856338501,-0.12587422132492065,-0.11911998689174652,-0.1303795874118805,-0.09454330801963806,-0.11545636504888535,-0.13733960688114166,-0.14328601956367493,-0.10808125138282776,-0.12377896159887314,-0.11032666265964508,-0.120002381503582,-0.08139336854219437,-0.10954923182725906,-0.11150012165307999,-0.10981259495019913,-0.09611163288354874,-0.13079775869846344
429.0838947837638,-0.09113141894340515,-0.123742014169693,-0.11705785989761353,-0.09682038426399231,-0.10611775517463684,-0.11404600739479065,-0.14103926718235016,-0.11596443504095078,-0.11093398183584213,-0.11312424391508102,-0.11831521987915039,-0.11548758298158646,5.2558269089786336e-05,-0.12011722475290298,-0.0010272462386637926,-0.11886867135763168,-0.1202106922864914,-0.12352892011404037,-0.12615838646888733,-0.11933349072933197,-0.1305602639913559,-0.09383098781108856,-0.11507005989551544,-0.13914792239665985,-0.14409376680850983,-0.10812091082334518,-0.12406139820814133,-0.10990087687969208,-0.11954876035451889,-0.08157858997583389,-0.10948950797319412,-0.11095847189426422,-0.10998513549566269,-0.09555167704820633,-0.13010263442993164
430.04812825518803,-0.09226614981889725,-0.12452160567045212,-0.11638711392879486,-0.09719686210155487,-0.10695870220661163,-0.11473691463470459,-0.14082080125808716,-0.11601383984088898,-0.11231712996959686,-0.11344879865646362,-0.11776047199964523,-0.11549872905015945,0.00037943825009278953,-0.12087249755859375,-0.0007716965628787875,-0.11807337403297424,-0.12007199227809906,-0.12292379140853882,-0.12661485373973846,-0.11944155395030975,-0.13100750744342804,-0.09271601587533951,-0.11539929360151291,-0.14010417461395264,-0.14480966329574585,-0.10806088149547577,-0.12421689182519913,-0.10974135994911194,-0.11973898857831955,-0.0817188248038292,-0.10953380912542343,-0.11030428111553192,-0.11053421348333359,-0.09531179070472717,-0.12935586273670197
